PlayerName,Org,Level,Age,xFIP,K%,BB%,IP,GB%,ERA,K-BB%,playerId,fg_pos,fg_top_100,fg_org_rk,fg_fb,fg_sl,fg_cb,fg_ch,fg_cmd,fg_fv,FA/Team,mlb_top30,mlb_top30_rank,mlb_top30_scraped_date,mlb_top30_match_method,mlb_top30_match_score,mlb_player_url,mlb_top30_source_url,mlb_top30_org_slug,mlb_year,mlb_grades_json,mlb_blurb,pitcherlist_in_list,pitcherlist_org_rank,pitcherlist_match_method,pitcherlist_match_score,pitcherlist_blurb,pitcherlist_has_blurb,pitcherlist_blurb_article_date,pitcherlist_blurb_article_url,pitcherlist_blurb_scraped_date,pitcherlist_org_rank_pl,pitcherlist_blurb_pl,pitcherlist_has_blurb_pl,pitcherlist_blurb_article_date_pl,pitcherlist_blurb_article_url_pl,pitcherlist_blurb_scraped_date_pl,p1500_in_list,p1500_org_rank,p1500_scraped_date,p1500_match_method,p1500_match_score,p1500_source_url,p1500_org_slug,p1500_org_rank_p1500,p1500_scraped_date_p1500,p1500_source_url_p1500,p1500_org_slug_p1500,ps_AAA_Name,ps_AAA_Org,ps_AAA_Pos,ps_AAA_Age,ps_AAA_PA,ps_AAA_AB,ps_AAA_Pitches,ps_AAA_Tracked%,ps_AAA_wOBA,ps_AAA_Bat Speed,ps_AAA_Barrel %,ps_AAA_BB%,ps_AAA_Chase%,ps_AAA_EV,ps_AAA_Max EV,ps_AAA_50th% EV,ps_AAA_90th% EV,ps_AAA_Hard Hit%,ps_AAA_K%,ps_AAA_L°,ps_AAA_Whiff%,ps_AAA_Swing%,ps_AAA_Z-Swing%,ps_AAA_Z-Contact%,ps_AAA_SwStr%,ps_AAA_Pull Air%,ps_AAA_BA,ps_AAA_OBP,ps_AAA_SLG,ps_AAA_BABIP,ps_AAA_BB,ps_AAA_2B,ps_AAA_3B,ps_AAA_Hits,ps_AAA_HR,ps_AAA_K,ps_AAA_Swings,ps_AAA_Whiffs,ps_AAA_psStuff+,ps_AAA_Max Velo,ps_AAA_Barrel%,ibw_year,ibw_rank,ibw_blurb,ibw_url,ibw_match_method,ibw_match_score,xFIP_pct,K%_pct,BB%_pct,K-BB%_pct,SkillScore,_mlb_top30_rank_pct_rankscore,_pitcherlist_org_rank_pct_rankscore,_p1500_org_rank_pct_rankscore,_ibw_rank_pct_rankscore,RankSources,RankCoverage,RankScore,DynastyScore_65_35,SampleReliability,Proj_ETA_Bucket,AgeForLevel_Delta,AgeForLevel_Score,Proj_Confidence,Proj_Impact,Proj_Risk,Proj_SP_Prob,Proj_Role,Proj_DynastyUtility,_trend_key,trend_key_method
Erick Mejia,WSN,AAA,30.3944444,4.2484779927195335,0.27102804,0.1588785,49.0,0.341880341,4.591836734693878,0.11214954000000002,15817,SIRP,,37,55 / 60,50 / 60,,,30 / 40,35+,FA,False,,,none,50.0,,,,,,,False,,none,40.0,,False,,,,,,,,,,False,,,none,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,0.5,0.6186440677966102,0.15254237288135597,0.3050847457627119,42.33,,,,,0,0.0,,42.33,1.0,0–1 yr,5.394444400000001,0.0,25.0,35.9805,60.0,0.6199999999999999,Mixed,12.191225,15817,playerId
Jose Espada,SDP,MLB,28.1083333,3.84316322562683,0.35245902,0.14344262,59.0,0.33898305,4.11864406779661,0.20901640000000002,21131,SIRP,,33,50 / 50,,55 / 55,,30 / 30,35+,FA,False,,,none,54.54545454545454,,,,,,,False,,none,45.45454545454545,,False,,,,,,,,,,False,,,none,54.54545454545454,,,,,,,Jose Espada,BAL,P,28.0,20.0,15.0,92.0,100.0,0.252,,,25.0,28.0,77.6,,,,20.0,15.0,20.3,15.0,43.011,60.5,96.2,6.5,,0.067,0.3,0.2,0.083,5.0,0.0,1.0,1.0,0.0,3.0,40.0,6.0,72.0,95.2,0.0,,,,,none,0,0.6666666666666667,0.8758169934640523,0.11111111111111116,0.7581699346405228,61.66,,,,,0,0.0,,61.66,1.0,MLB,1.1083333000000017,36.70000039999998,25.0,57.91600006,46.08333300000002,0.5799999999999998,Mixed,31.489700156999994,21131,playerId
Daniel Robert,PHI,NAN,30.5861111,3.9931304093170072,0.28187919,0.08053691,33.0,0.34090909,3.272726303290032,0.20134227999999998,21229,SIRP,,31,50 / 50,60 / 60,,,50 / 50,35+,FA,False,,,none,60.0,,,,,,,False,,none,60.0,,False,,,,,,,,,,False,,,none,60.0,,,,,,,Daniel Robert,FA,P,31.0,17.0,13.0,65.0,100.0,0.501,,,17.6,32.4,92.8,,,,50.0,35.3,9.5,34.5,44.615,58.1,66.7,15.4,,0.462,0.529,0.692,0.714,3.0,0.0,0.0,6.0,1.0,6.0,29.0,10.0,105.4,96.2,12.5,,,,,none,0,0.9285714285714286,0.7857142857142857,0.9285714285714286,1.0,90.08,,,,,0,0.0,,90.08,0.825,Unknown,,,20.625,84.068,39.375,0.5729999999999998,Mixed,46.04935,21229,playerId
Justin Hagenman,NYM,MLB,28.4833333,3.960488952643533,0.24242424,0.03939394,77.1,0.395652173,5.237069309962655,0.2030303,21546,SP,,21,40 / 40,50 / 50,,50 / 50,60 / 60,40,BB,False,,,none,46.666666666666664,,,,,,,False,,none,44.44444444444444,,False,,,,,,,,,,False,,,none,0.0,,,,,,,Justin Hagenman,NYM,P,29.0,35.0,34.0,119.0,100.0,0.258,,,0.0,26.0,90.0,,,,33.3,20.0,7.7,30.6,52.101,71.0,69.4,16.0,,0.265,0.286,0.294,0.333,0.0,1.0,0.0,9.0,0.0,7.0,62.0,19.0,82.6,93.9,3.7,,,,,none,0,0.607843137254902,0.35947712418300654,0.954248366013072,0.7124183006535948,63.33,,,,,0,0.0,,63.33,1.0,MLB,1.4833333000000017,32.20000039999998,25.0,58.66050006,49.83333300000002,0.5799999999999998,Mixed,30.36222515699999,21546,playerId
Elvis Alvarado,ATH,MLB,26.1055555,4.666677445935335,0.3028169,0.11971831,34.0,0.435897435,3.4411764705882355,0.18309859,21662,SIRP,,43,70 / 70,40 / 40,,,30 / 30,35+,FA,False,,,none,0.0,,,,,,,False,,none,53.333333333333336,,False,,,,,,,,,,False,,,none,0.0,,,,,,,Elvis Alvarado,ATH,P,26.0,21.0,17.0,84.0,100.0,0.258,,,19.0,21.7,83.8,,,,33.3,42.9,17.0,50.0,42.857,50.8,48.4,21.4,,0.176,0.333,0.176,0.375,4.0,0.0,0.0,3.0,0.0,9.0,36.0,18.0,111.1,99.6,0.0,,,,,none,0,0.3529411764705882,0.7810457516339869,0.28104575163398693,0.6013071895424836,49.73,,,,,0,0.0,,49.73,0.85,MLB,-0.8944444999999988,60.733333999999985,21.25,51.38050009999999,38.75,0.5184999999999998,Mixed,33.705391844999994,21662,playerId
Juan Morillo,ARI,MLB,26.0333333,4.135182191963707,0.26315789,0.0877193,28.0,0.594202898,1.9285714285714288,0.17543859,21924,SIRP,,53,60 / 60,50 / 50,,,30 / 30,35+,FA,False,,,none,46.666666666666664,,,,,,,False,,none,46.666666666666664,,False,,,,,,,,,,False,,,none,0.0,,,,,,,Juan Morillo,ARI,P,26.0,24.0,23.0,91.0,100.0,0.155,,,4.2,37.2,87.3,,,,36.4,41.7,18.4,34.0,51.648,64.6,74.2,17.6,,0.13,0.167,0.174,0.231,1.0,1.0,0.0,3.0,0.0,10.0,47.0,16.0,115.6,101.0,9.1,,,,,none,0,0.5555555555555556,0.49019607843137253,0.6437908496732025,0.5555555555555556,55.7,,,,,0,0.0,,55.7,0.7,MLB,-0.9666667000000011,61.60000040000001,17.5,56.585000060000006,42.5,0.5679999999999998,Mixed,34.90825010700001,21924,playerId
Cole Winn,TEX,MLB,25.35,5.061461598884978,0.19852941,0.13235294,34.1,0.523255813,1.572815231805486,0.06617646999999999,22113,SIRP,,29,50 / 50,60 / 60,50 / 50,,40 / 40,40,FA,False,,,none,63.63636363636363,,,,,,,False,,none,0.0,,False,,,,,,,,,,False,,,none,54.54545454545454,,,,,,,Cole Winn,TEX,P,26.0,18.0,14.0,72.0,100.0,0.463,,,22.2,22.5,91.8,,,,57.1,11.1,9.1,36.7,41.667,65.6,81.0,15.3,,0.357,0.5,0.571,0.364,4.0,0.0,0.0,5.0,1.0,2.0,30.0,11.0,103.1,97.2,0.0,,,,,none,0,0.196078431372549,0.058823529411764705,0.14379084967320266,0.058823529411764705,12.35,,,,,0,0.0,,12.35,0.8525,MLB,-1.6499999999999986,69.79999999999998,21.3125,20.967499999999998,38.6875,0.5185249999999998,Mixed,21.854749999999996,22113,playerId
Sean Reynolds,SDP,NAN,26.95,6.770649201526276,0.18333333,0.18333333,28.1,0.472972972,2.858823850163162,0.0,22253,SIRP,,17,55 / 55,60 / 60,50 / 50,45 / 50,40 / 40,40,FA,False,,,none,56.00000000000001,,,,,,,False,,none,56.0,,False,,,,,,,,,,False,,,none,56.00000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,0.0,0.14285714285714285,0.2142857142857143,0.17857142857142858,11.71,,,,,0,0.0,,11.71,0.7025,Unknown,,,17.5625,17.453500000000002,42.4375,0.5170249999999998,Mixed,15.000950000000001,22253,playerId
Owen White,CHW,NAN,25.6444444,5.203893838219699,0.18767507,0.1232493,84.0,0.464135021,4.285714285714286,0.06442577,22273,SP,,38,35 / 35,55 / 55,50 / 50,45 / 50,45 / 45,35+,FA,False,,,none,0.0,,,,,,,False,,none,47.61904761904762,,False,,,,,,,,,,False,,,none,0.0,,,,,,,Owen White,FA,P,26.0,11.0,10.0,52.0,100.0,0.177,,,9.1,39.1,73.3,,,,0.0,18.2,23.4,20.0,48.077,55.2,81.3,9.6,,0.1,0.182,0.2,0.125,1.0,1.0,0.0,1.0,0.0,2.0,25.0,5.0,98.3,93.7,0.0,,,,,none,0,0.4285714285714286,0.21428571428571427,0.7142857142857143,0.42857142857142855,43.25,,,,,0,0.0,,43.25,1.0,Unknown,,,25.0,44.2625,35.0,0.5199999999999998,Mixed,29.668125000000003,22273,playerId
Yoendrys Gomez,NYY,MLB,25.4611111,4.008687208852744,0.30290456,0.10373444,58.0,0.369565217,1.7068964955922985,0.19917012,22872,MIRP,,28,45 / 50,60 / 60,50 / 50,40 / 40,40 / 40,40,FA,False,,,none,44.44444444444444,,,,,,,False,,none,44.44444444444444,,False,,,,,,,,,,False,,,none,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,0.5947712418300654,0.7908496732026143,0.43790849673202614,0.6928104575163399,63.07,,,,,0,0.0,,63.07,1.0,MLB,-1.5388889,68.4666668,25.0,63.87950002,35.0,0.5799999999999998,Mixed,42.189108368999996,22872,playerId
