year,fg_name,fg_name_norm,match_method,match_score,ibw_rank,ibw_name,ibw_name_norm,ibw_url
2025,Erick Mejia,erick mejia,none,0,,,,
2025,Jose Espada,jose espada,none,0,,,,
2025,Daniel Robert,daniel robert,none,0,,,,
2025,Justin Hagenman,justin hagenman,none,0,,,,
2025,Elvis Alvarado,elvis alvarado,none,0,,,,
2025,Juan Morillo,juan morillo,none,0,,,,
2025,Cole Winn,cole winn,none,0,,,,
2025,Sean Reynolds,sean reynolds,none,0,,,,
2025,Owen White,owen white,none,0,,,,
2025,Yoendrys Gomez,yoendrys gomez,none,0,,,,
2025,Carlos Vargas,carlos vargas,none,0,,,,
2025,Eduarniel Nunez,eduarniel nunez,none,0,,,,
2025,Michael Mercado,michael mercado,none,0,,,,
2025,Juan Mejia,juan mejia,none,0,,,,
2025,Joey Cantillo,joey cantillo,exact,100,123,Joey Cantillo,joey cantillo,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Braxton Ashcraft,braxton ashcraft,exact,100,112,Braxton Ashcraft,braxton ashcraft,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Omar Cruz,omar cruz,none,0,,,,
2025,Luis Peralta,luis peralta,none,0,,,,
2025,Luinder Avila,luinder avila,none,0,,,,
2025,Carlos Duran,carlos duran,none,0,,,,
2025,Carlos Duran,carlos duran,none,0,,,,
2025,Lyon Richardson,lyon richardson,none,0,,,,
2025,Jonathan Bowlan,jonathan bowlan,none,0,,,,
2025,Luis Curvelo,luis curvelo,none,0,,,,
2025,Mike Burrows,mike burrows,exact,100,273,Mike Burrows,mike burrows,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Erik Sabrowski,erik sabrowski,none,0,,,,
2025,Jacob Lopez,jacob lopez,none,0,,,,
2025,Brady Basso,brady basso,none,0,,,,
2025,Luis Mey,luis mey,none,0,,,,
2025,Cole Waites,cole waites,none,0,,,,
2025,Zak Kent,zak kent,none,0,,,,
2025,Connor Thomas,connor thomas,none,0,,,,
2025,Seth Johnson,seth johnson,none,0,,,,
2025,Tyler Owens,tyler owens,none,0,,,,
2025,Anthony Maldonado,anthony maldonado,none,0,,,,
2025,Sawyer Gipson-Long,sawyer gipson-long,exact,100,197,Sawyer Gipson-Long,sawyer gipson-long,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Kade Strowd,kade strowd,none,0,,,,
2025,Andrew Saalfrank,andrew saalfrank,none,0,,,,
2025,Caleb Kilian,caleb kilian,none,0,,,,
2025,Jackson Rutledge,jackson rutledge,none,0,,,,
2025,Orlando Ribalta,orlando ribalta,none,0,,,,
2025,Blake Walston,blake walston,none,0,,,,
2025,Marc Church,marc church,none,0,,,,
2025,Bradley Blalock,bradley blalock,none,0,,,,
2025,Sam Aldegheri,sam aldegheri,fuzzy,96,295,Sam Aldgheri,sam aldgheri,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Trevor McDonald,trevor mcdonald,none,0,,,,
2025,Wikelman Gonzalez,wikelman gonzalez,none,0,,,,
2025,Jairo Iriarte,jairo iriarte,exact,100,331,Jairo Iriarte,jairo iriarte,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Edgardo Henriquez,edgardo henriquez,none,0,,,,
2025,Rolddy Munoz,rolddy munoz,none,0,,,,
2025,Cade Cavalli,cade cavalli,exact,100,171,Cade Cavalli,cade cavalli,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Clayton Beeter,clayton beeter,none,0,,,,
2025,Carson Ragsdale,carson ragsdale,none,0,,,,
2025,Kyle Hurt,kyle hurt,none,0,,,,
2025,Cole Henry,cole henry,none,0,,,,
