Org,PlayerName,name_norm,pitcherlist_org_rank,pitcherlist_match_method,pitcherlist_match_score,pitcherlist_in_list
WSN,Erick Mejia,erick mejia,,none,40.0,False
SDP,Jose Espada,jose espada,,none,45.45454545454545,False
PHI,Daniel Robert,dan robert,,none,60.0,False
NYM,Justin Hagenman,justin hagenman,,none,44.44444444444444,False
ATH,Elvis Alvarado,elvis alvarado,,none,53.333333333333336,False
ARI,Juan Morillo,juan morillo,,none,46.666666666666664,False
TEX,Cole Winn,cole winn,,none,0.0,False
SDP,Sean Reynolds,sean reynolds,,none,56.0,False
CHW,Owen White,owen white,,none,47.61904761904762,False
NYY,Yoendrys Gomez,yoendrys gomez,,none,44.44444444444444,False
SEA,Carlos Vargas,carlos vargas,,none,52.17391304347826,False
SDP,Eduarniel Nunez,eduarniel nunez,,none,42.857142857142854,False
PHI,Michael Mercado,mike mercado,,none,50.0,False
COL,Juan Mejia,juan mejia,,none,43.47826086956522,False
CLE,Joey Cantillo,joey cantillo,10,fuzzy,100.0,True
PIT,Braxton Ashcraft,braxton ashcraft,,none,42.42424242424242,False
SDP,Omar Cruz,omar cruz,,none,63.63636363636363,False
COL,Luis Peralta,luis peralta,,none,40.0,False
KCR,Luinder Avila,luinder avila,,none,46.15384615384615,False
ATH,Carlos Duran,carlos duran,,none,52.17391304347826,False
ATH,Carlos Duran,carlos duran,,none,52.17391304347826,False
CIN,Lyon Richardson,lyon richardson,,none,44.44444444444444,False
KCR,Jonathan Bowlan,jon bowlan,,none,43.47826086956522,False
TEX,Luis Curvelo,luis curvelo,,none,0.0,False
PIT,Mike Burrows,mike burrows,,none,41.666666666666664,False
CLE,Erik Sabrowski,erik sabrowski,,none,50.0,False
ATH,Jacob Lopez,jake lopez,,none,45.45454545454545,False
ATH,Brady Basso,brady basso,,none,40.0,False
CIN,Luis Mey,luis mey,,none,52.63157894736842,False
SFG,Cole Waites,cole waites,,none,52.17391304347826,False
CLE,Zak Kent,zak kent,,none,36.36363636363637,False
MIL,Connor Thomas,connor thomas,,none,48.0,False
PHI,Seth Johnson,seth johnson,,none,42.857142857142854,False
DET,Tyler Owens,tyler owens,,none,45.45454545454545,False
ATH,Anthony Maldonado,tony maldonado,,none,40.0,False
DET,Sawyer Gipson-Long,sawyer gipson long,,none,42.42424242424242,False
BAL,Kade Strowd,kade strowd,,none,48.0,False
ARI,Andrew Saalfrank,andy saalfrank,,none,46.15384615384615,False
CHC,Caleb Kilian,caleb kilian,,none,44.44444444444444,False
WSN,Jackson Rutledge,jackson rutledge,,none,53.333333333333336,False
WSN,Orlando Ribalta,orlando ribalta,,none,46.666666666666664,False
ARI,Blake Walston,blake walston,,none,48.275862068965516,False
TEX,Marc Church,marc church,,none,0.0,False
COL,Bradley Blalock,brad blalock,,none,50.0,False
LAA,Sam Aldegheri,sam aldegheri,,none,46.15384615384615,False
SFG,Trevor McDonald,trevor mcdonald,14,fuzzy,100.0,True
CHW,Wikelman Gonzalez,wikelman gonzalez,,none,40.0,False
CHW,Jairo Iriarte,jairo iriarte,,none,40.0,False
LAD,Edgardo Henriquez,edgardo henriquez,,none,60.60606060606061,False
ATL,Rolddy Munoz,rolddy munoz,,none,34.78260869565217,False
WSN,Cade Cavalli,cade cavalli,,none,43.47826086956522,False
NYY,Clayton Beeter,clayton beeter,,none,44.44444444444444,False
SFG,Carson Ragsdale,carson ragsdale,,none,45.16129032258065,False
LAD,Kyle Hurt,kyle hurt,,none,34.78260869565217,False
WSN,Cole Henry,cole henry,,none,50.0,False
LAA,Jake Eder,jake eder,,none,45.45454545454545,False
TBR,Eric Orze,eric orze,,none,42.10526315789474,False
CIN,Connor Phillips,connor phillips,,none,44.44444444444444,False
ATH,Justin Sterner,justin sterner,,none,53.84615384615385,False
PHI,Mick Abel,mick abel,,none,56.0,False
CIN,Yosver Zulueta,yosver zulueta,,none,46.15384615384615,False
WSN,Zach Brzykcy,zach brzykcy,,none,38.095238095238095,False
BAL,Brandon Young,brandon young,,none,45.16129032258065,False
ATH,J.T. Ginn,j t ginn,,none,50.0,False
KCR,Noah Murdock,noah murdock,,none,66.66666666666666,False
TBR,Ian Seymour,ian seymour,,none,54.54545454545455,False
WSN,Andry Lara,andry lara,,none,43.47826086956522,False
ARI,Cristian Mena,cristian mena,,none,58.064516129032256,False
TEX,Jose Corniell,jose corniell,,none,0.0,False
SDP,Bradgley Rodriguez,bradgley rodriguez,5,fuzzy,100.0,True
ARI,Yilber Diaz,yilber diaz,,none,41.666666666666664,False
STL,Gordon Graceffo,gordon graceffo,,none,40.0,False
STL,Andre Granillo,andre granillo,,none,46.15384615384615,False
MIA,Patrick Monteverde,pat monteverde,,none,48.0,False
DET,Chase Lee,chase lee,,none,63.1578947368421,False
STL,Matt Svanson,matt svanson,,none,48.0,False
KCR,Andrew Hoffmann,andy hoffmann,,none,40.0,False
TBR,Mason Montgomery,mason montgomery,,none,46.666666666666664,False
MIL,Robert Gasser,bob gasser,,none,42.857142857142854,False
CHW,Nick Nastrini,nick nastrini,,none,44.44444444444444,False
SDP,Ryan Bergert,ryan bergert,,none,50.0,False
BAL,Chayce McDermott,chayce mcdermott,,none,33.33333333333333,False
PIT,Bubba Chandler,bubba chandler,2,fuzzy,100.0,True
STL,Michael McGreevy,mike mcgreevy,,none,40.0,False
CHW,Sean Burke,sean burke,,none,54.54545454545455,False
ATL,Dylan Dodd,dylan dodd,,none,41.666666666666664,False
ATL,AJ Smith-Shawver,aj smith shawver,,none,46.15384615384615,False
ATH,Grant Holman,grant holman,,none,47.61904761904762,False
TBR,Joe Rock,joe rock,,none,42.10526315789474,False
SFG,Carson Seymour,carson seymour,,none,53.84615384615385,False
LAD,Ben Casparius,ben casparius,,none,44.44444444444444,False
CHW,Mike Vasil,mike vasil,,none,43.47826086956522,False
CHC,Jack Neely,jack neely,,none,57.142857142857146,False
MIL,Chad Patrick,chad patrick,,none,41.666666666666664,False
DET,Ty Madden,ty madden,,none,52.63157894736842,False
CLE,Doug Nikhazy,doug nikhazy,,none,44.44444444444444,False
DET,Dylan Smith,dylan smith,,none,54.54545454545455,False
TEX,Jack Leiter,jack leiter,,none,0.0,False
NYM,Dom Hamel,dom hamel,,none,34.78260869565217,False
BOS,Richard Fitts,rick fitts,,none,47.61904761904762,False
MIL,Carlos Rodriguez,carlos rodriguez,,none,38.46153846153846,False
MIL,Carlos Rodriguez,carlos rodriguez,,none,38.46153846153846,False
MIL,Carlos Rodriguez,carlos rodriguez,,none,38.46153846153846,False
