Org,PlayerName,p1500_org_rank,p1500_match_method,p1500_match_score,p1500_in_list,p1500_org_slug,p1500_source_url,p1500_scraped_date
WSN,Erick Mejia,,none,50.0,False,,,
SDP,Jose Espada,,none,54.54545454545454,False,,,
PHI,Daniel Robert,,none,60.0,False,,,
NYM,Justin Hagenman,,none,0.0,False,,,
ATH,Elvis Alvarado,,none,53.333333333333336,False,,,
ARI,Juan Morillo,,none,46.666666666666664,False,,,
TEX,Cole Winn,,none,54.54545454545454,False,,,
SDP,Sean Reynolds,,none,56.00000000000001,False,,,
CHW,Owen White,,none,0.0,False,,,
NYY,Yoendrys Gomez,,none,50.0,False,,,
SEA,Carlos Vargas,,none,0.0,False,,,
SDP,Eduarniel Nunez,,none,57.14285714285714,False,,,
PHI,Michael Mercado,,none,50.0,False,,,
COL,Juan Mejia,,none,52.17391304347826,False,,,
CLE,Joey Cantillo,,none,0.0,False,,,
PIT,Braxton Ashcraft,,none,0.0,False,,,
SDP,Omar Cruz,,none,63.63636363636363,False,,,
COL,Luis Peralta,,none,50.0,False,,,
KCR,Luinder Avila,7,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/kansas-city-royals-top-50-prospects-2026/,2026-02-05
ATH,Carlos Duran,,none,61.53846153846154,False,,,
ATH,Carlos Duran,,none,61.53846153846154,False,,,
CIN,Lyon Richardson,,none,51.85185185185186,False,,,
KCR,Jonathan Bowlan,,none,57.14285714285714,False,,,
TEX,Luis Curvelo,38,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/texas-rangers-top-50-prospects-2026/,2026-02-05
PIT,Mike Burrows,,none,0.0,False,,,
CLE,Erik Sabrowski,,none,0.0,False,,,
ATH,Jacob Lopez,,none,57.14285714285714,False,,,
ATH,Brady Basso,,none,57.14285714285714,False,,,
CIN,Luis Mey,28,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/cincinnati-reds-top-50-prospects-2026/,2026-02-05
SFG,Cole Waites,,none,54.54545454545454,False,,,
CLE,Zak Kent,,none,0.0,False,,,
MIL,Connor Thomas,,none,0.0,False,,,
PHI,Seth Johnson,,none,53.84615384615385,False,,,
DET,Tyler Owens,,none,0.0,False,,,
ATH,Anthony Maldonado,,none,44.44444444444444,False,,,
DET,Sawyer Gipson-Long,,none,0.0,False,,,
BAL,Kade Strowd,,none,0.0,False,,,
ARI,Andrew Saalfrank,,none,57.14285714285714,False,,,
CHC,Caleb Kilian,,none,63.63636363636363,False,,,
WSN,Jackson Rutledge,,none,64.28571428571428,False,,,
WSN,Orlando Ribalta,,none,55.172413793103445,False,,,
ARI,Blake Walston,,none,50.0,False,,,
TEX,Marc Church,22,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/texas-rangers-top-50-prospects-2026/,2026-02-05
COL,Bradley Blalock,,none,50.0,False,,,
LAA,Sam Aldegheri,12,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/los-angeles-angels-top-50-prospects-2026/,2026-02-05
